"id","userId","action","tableName","columnName","entryId","oldData","newData","timestamp"
1,2,"delete","sites","name",0,"","testSite1","2023-10-03 04:43:33"
2,2,"delete","sites","name",0,"","test2","2023-10-03 04:43:37"
3,2,"delete","sites","name",0,"","ndbfb","2023-10-03 04:43:41"
4,2,"delete","sites","name",0,"","Aster Capital ","2023-10-03 15:00:42"
5,2,"delete","sites","name",0,"","Aster Capital ","2023-10-03 15:00:43"
6,2,"delete","sites","name",0,"","M Space","2023-10-03 15:01:30"
7,2,"delete","sites","name",0,"","M Space","2023-10-03 15:01:30"
8,2,"delete","sites","name",0,"","M Space","2023-10-03 15:01:30"
9,2,"delete","sites","name",0,"","M Space","2023-10-03 15:01:30"
10,2,"delete","sites","name",0,"","M Space","2023-10-03 15:01:30"
11,2,"delete","sites","name",0,"","Gokulam Guruvayur ","2023-10-03 15:01:31"
12,2,"delete","sites","name",0,"","Gokulam Guruvayur ","2023-10-03 15:01:31"
13,2,"delete","sites","name",0,"","villament Kuttikatoor ","2023-10-03 15:01:51"
14,2,"delete","sites","name",0,"","Gokulam Residence","2023-10-18 02:46:05"
15,2,"update","sites","address",4,"Vaniyamkulan","Vaniyamkulam","2023-10-18 15:28:00"
16,2,"create","sites","name",44,"","sabik commercial Mampuzha ","2023-10-31 04:54:12"
17,2,"create","categories","name",1,"","others","2023-11-04 13:51:27"
18,2,"create","categories","name",2,"","vehicles","2023-11-04 13:51:44"
19,2,"delete","sites","name",0,"Apollo Cypress","","2023-11-11 07:37:08"
20,2,"create","users","name",17,"","Sreekanth Edavalath ","2024-01-01 08:01:36"
21,2,"create","users","name",18,"","Pramod ","2024-01-01 08:14:46"
22,2,"create","users","name",19,"","yazir Arafath ","2024-01-01 12:16:50"
23,16,"create","users","name",20,"","Rijas K P","2024-02-05 03:50:23"
24,16,"create","sites","name",45,"","Rahmania Arabic Complex ","2024-02-08 03:53:58"
25,16,"create","users","name",21,"","Anoop","2024-02-08 04:10:20"
26,16,"create","users","name",22,"","Anil","2024-02-15 04:07:48"
