"id","fromStockId","toStockId","available","serviceable","scrapped","remark","prevAvailable","prevServiceable","prevScrapped","timestamp"
1,1,1,87,56,78,"in godown",0,0,0,"2023-09-21 10:08:38"
2,1,1,56,100,90,"sup",87,56,78,"2023-09-21 10:09:04"
3,2,2,40,60,8,"",0,0,0,"2023-09-21 10:10:03"
4,1,1,57,100,90,"",56,100,90,"2023-09-21 10:12:09"
5,3,3,0,0,0,"",0,0,0,"2023-09-21 10:12:17"
6,3,3,8,0,0,"",0,0,0,"2023-09-21 10:12:21"
7,4,4,4,5,9,"working",0,0,0,"2023-09-22 03:46:20"
8,1,1,57,110,90,"",57,100,90,"2023-09-22 03:46:49"
9,5,5,8,5,9,"",0,0,0,"2023-09-22 04:01:44"
10,3,3,8,10,0,"",8,0,0,"2023-09-22 04:18:32"
11,3,3,8,10,0,"",8,0,0,"2023-09-22 04:18:32"
12,2,2,98,60,8,"",40,60,8,"2023-09-22 04:18:59"
13,3,3,8,20,0,"",8,10,0,"2023-09-22 04:19:07"
14,6,6,0,98,0,"hello",0,0,0,"2023-09-22 04:20:23"
15,1,1,78,110,90,"",57,110,90,"2023-09-22 05:25:22"
16,7,7,24,10,0,"test data",0,0,0,"2023-09-22 05:26:13"
17,8,8,5,3,2,"",0,0,0,"2023-12-24 06:40:17"
18,8,8,0,0,0,"--rollback--",5,3,2,"2023-12-24 06:42:00"
19,9,9,3,5,2,"",0,0,0,"2023-12-24 06:52:05"
20,9,9,0,0,0,"--rollback--",3,5,2,"2023-12-24 06:52:09"
21,9,9,2,5,5,"",0,0,0,"2023-12-24 06:54:52"
22,9,9,0,0,0,"--rollback--",2,5,5,"2023-12-24 06:54:55"
23,8,8,280,0,0,"",0,0,0,"2024-01-01 07:54:10"
24,8,8,280,0,0,"",280,0,0,"2024-01-01 07:54:11"
25,10,10,60,3,0,"",0,0,0,"2024-01-01 08:36:13"
26,11,11,30,7,0,"",0,0,0,"2024-01-01 08:36:59"
27,12,12,50,0,0,"",0,0,0,"2024-01-01 08:37:20"
28,13,13,19,0,0,"",0,0,0,"2024-01-01 08:37:33"
29,14,14,2,0,0,"",0,0,0,"2024-01-01 08:37:59"
30,15,15,1,0,0,"",0,0,0,"2024-01-01 08:38:12"
31,16,16,1,0,0,"",0,0,0,"2024-01-01 08:38:25"
32,17,17,3,0,0,"",0,0,0,"2024-01-01 08:38:33"
33,18,18,1,0,0,"",0,0,0,"2024-01-01 08:38:44"
34,19,19,1,0,0,"",0,0,0,"2024-01-01 08:38:58"
35,20,20,2,1,0,"",0,0,0,"2024-01-01 08:39:14"
36,21,21,163,0,0,"",0,0,0,"2024-01-01 11:17:29"
37,21,21,163,0,0,"",163,0,0,"2024-01-01 11:17:34"
38,21,21,255,0,0,"",163,0,0,"2024-01-01 11:18:13"
39,22,22,333,0,0,"",0,0,0,"2024-01-01 11:18:52"
40,23,23,68,0,0,"",0,0,0,"2024-01-01 11:19:08"
41,23,23,68,0,0,"",68,0,0,"2024-01-01 11:19:11"
42,24,24,70,0,0,"",0,0,0,"2024-01-01 11:19:21"
43,25,25,1,0,0,"",0,0,0,"2024-01-01 11:19:50"
44,26,26,39,0,0,"",0,0,0,"2024-01-01 11:20:10"
45,26,26,39,0,0,"",39,0,0,"2024-01-01 11:20:50"
46,27,27,10,0,0,"",0,0,0,"2024-01-03 12:07:51"
47,27,27,0,0,0,"--rollback--",10,0,0,"2024-01-03 12:10:23"
48,27,27,1,0,0,"",0,0,0,"2024-01-03 12:10:41"
49,28,28,50,0,0,"",0,0,0,"2024-02-08 05:38:15"
50,29,29,20,0,0,"",0,0,0,"2024-02-08 05:38:36"
51,30,30,70,0,0,"",0,0,0,"2024-02-08 05:41:36"
52,31,31,1,0,0,"",0,0,0,"2024-02-08 05:41:58"
53,32,32,1,0,0,"",0,0,0,"2024-02-08 05:42:10"
54,33,33,10,0,0,"",0,0,0,"2024-02-08 05:42:53"
55,33,33,10,0,0,"",10,0,0,"2024-02-08 05:42:59"
56,32,32,0,0,0,"--rollback--",1,0,0,"2024-02-08 05:43:44"
57,34,34,1,0,0,"",0,0,0,"2024-02-08 05:44:01"
58,34,34,1,0,0,"",1,0,0,"2024-02-08 05:47:50"
59,34,34,1,0,0,"",1,0,0,"2024-02-08 05:48:00"
60,34,34,1,0,0,"",1,0,0,"2024-02-08 05:48:08"
61,35,35,2,0,0,"",0,0,0,"2024-02-08 05:48:56"
62,36,36,80,0,0,"",0,0,0,"2024-02-16 09:09:29"
63,37,37,72,0,0,"",0,0,0,"2024-02-16 09:10:02"
64,38,38,4,0,0,"",0,0,0,"2024-02-16 09:10:20"
65,39,39,15,0,0,"",0,0,0,"2024-02-16 09:10:42"
66,40,40,1,0,0,"",0,0,0,"2024-02-16 09:11:35"
67,41,41,2,0,0,"",0,0,0,"2024-02-16 09:11:48"
68,42,42,0,1,0,"",0,0,0,"2024-02-16 09:12:03"
69,43,43,1,2,0,"",0,0,0,"2024-02-16 09:12:23"
70,44,44,18,0,0,"",0,0,0,"2024-02-16 09:12:43"
71,45,45,1,0,0,"",0,0,0,"2024-02-16 09:12:55"
72,46,46,2,0,0,"",0,0,0,"2024-02-16 09:13:06"
73,47,47,11,0,0,"",0,0,0,"2024-02-16 09:13:52"
74,48,48,20,0,0,"",0,0,0,"2024-02-16 09:14:23"
