"id","name","unit","inventoryId","categoryId"
5,"kgdkgdtsj","","1005",2
6,"ydydyd","","1006",2
7,"testInventory3","","1007",1
8,"testInventory4","","1008",1
9,"Tipper lorry","","1009",2
10,"Props 2.10","","1010",1
11,"Props 2.10","","1011",1
12,"Props 3","","1012",4
14,"Props 3.5","","1014",1
15,"Span","","1015",1
16,"Sheet 1.15 x 0.60","","1016",1
18,"Sheet 0.90 x 0.60","","1018",1
19,"Sheet 0.40 x 0.60","","1019",1
20,"Cut Sheet ","","1020",1
21,"Column box sheet","","1021",1
23,"Ladder","","1023",1
24,"Standing stage","","1024",1
25,"H Frame scaffolding","","1025",1
26,"Pipe  6 M","","1026",1
27,"Pipe  3 M","","1027",1
28,"Mixture machine ","","1028",1
29,"Steel bending machine ","","1029",1
30,"Steel cutting machine ","","1030",1
31,"Wood cutting machine 4""","","1031",1
32,"Wood cutting machine 7""","","1032",1
33,"Welding machine","","1033",1
34,"vibrator ( Wacker Huson)","","1034",1
35,"vibrator  Diesel","","1035",1
36,"vibrator  China","","1036",1
37,"plant concrete mixing","","1037",1
38,"plant concrete mixing","","1038",1
39,"Concrete pump","","1039",1
40,"lift","","1040",1
41,"Crane","","1041",1
42,"Drilling machine","","1042",1
43,"I section","","1043",1
44,"C channel","","1044",1
45,"Grill","","1045",1
46,"itWontWorkBruh","","1046",1
90,"nbdyknow","","1090",1
92,"hctcyvu","","1092",2
93,"hcuf7g","","1093",3
