"id","name","siteType","address","latitude","longitude","siteId"
4,"PKDas Vaniyamkulam","workingSite","Vaniyamkulam","","","1004"
5,"Nehru college of Architecture","workingSite","lakkidi ","","","1005"
6,"Gokulam Residence","workingSite","Chennai
","","","1006"
8,"Anas Residence ","workingSite","Kallambalam","","","1008"
9,"Aster Capital ","workingSite","Aakulam","","","1009"
11,"GG Hospital ","workingSite","Trivandrum ","","","1011"
12,"Gokulam Guruvayur ","workingSite","Guruvayur","","","1012"
14,"M Space","workingSite","Trichur","","","1014"
16,"Dr. Manoj House","workingSite","Trivandrum ","","","1016"
17,"villament Kuttikatoor ","workingSite","Kuttikatoor ","","","1017"
19,"FAIZAL VILLA","workingSite","Kuttikatoor ","","","1019"
20,"Kareem Villa ","workingSite","Kuttikatoor ","","","1020"
21,"A4 Villa","workingSite","Kuttikatoor ","","","1021"
22,"Club House","workingSite","Kuttikatoor ","","","1022"
23,"Nishad Villa ","workingSite","Kuttikatoor ","","","1023"
24,"KMCT Ayurveda ","workingSite","Manassery ","","","1024"
25,"KMCT Kuttipuram ","workingSite","Kuttipuram ","","","1025"
26,"PK Steel Nallam","workingSite","Nallalan","","","1026"
27,"PK Steel Nallam","workingSite","Nallalan","","","1027"
28,"Apollo Cypress","workingSite","Kozhikode","","","1028"
30,"Parrisons Pavangad","workingSite","Kozhikode","","","1030"
31,"Sherga Villa ","workingSite","Kozhikode","","","1031"
32,"Kannankandy Puthiyara","workingSite","Puyhiyara ","","","1032"
33,"Komappas Commercial","workingSite","Jafferkhan colony ","","","1033"
34,"Kannankandy Thondayad","workingSite","Thondayad Kozhikode ","","","1034"
35,"Riyas Residence ","workingSite","Chalappuram, Kozhikode ","","","1035"
36,"Nishaj Commercial ","workingSite","Ramanattukara, Koxhikode ","","","1036"
37,"Gokulam Arayidathpalam ","workingSite","Kozhikode","","","1037"
38,"Faizal Kalleri Complex Vadakara","workingSite","Vadakara ","","","1038"
39,"Nesto Kottakal","workingSite","Kottakal ","","","1039"
40,"CH Centre Tirur","workingSite","Tirur","","","1040"
41,"Shameer Residence Mathilakam","workingSite","Mathilakam ","","","1041"
42,"Azeezia Palakkad ","workingSite","Erattakulam, Palakkad","","","1042"
43,"Sundar Ventures ","workingSite","Palakkad ","","","1043"
44,"sabik commercial Mampuzha ","workingSite","mampuzha, panthherankavu ","","","1044"
45,"Rahmania Arabic Complex ","workingSite","Ottapalam","","","1045"
